Pool	Raw_Reads	Filtered_Reads	Mapped_Reads	%_Duplicate	Filtered_Mapped_Reads	%_mapping_to_mitochondrial_genome
]633;E;for i in "${StringArray[@]}"\x3b do  nom=$(samtools view -@32 $WORKING_DIR/03_mapping/01_merged/${i}.norm.F.bam -c -L $WORKING_DIR/Genome/mtDNA.bed)\x3b denom=$(samtools view -@32 $WORKING_DIR/03_mapping/01_merged/${i}.norm.F.bam -c)\x3b dupPE=$(mawk '/Unknown/' $WORKING_DIR/02_ddocent/02_PE/logfiles/${i}_dup_metrics.txt | cut -f9)\x3b paste <(echo $i) <(echo $(( `zcat $WORKING_DIR/01_process_reads/raw/${i}_R1.fq.gz | wc -l` /4 ))) <(echo $(( `zcat $WORKING_DIR/01_process_reads/clean/${i}.F.fq.gz | wc -l` /4 ))) <(samtools view -@ 32 $WORKING_DIR/02_ddocent/02_PE/${i}-RGmd.bam -c) <(python -c "print(round("$dupPE" * 100,2))") <(echo $denom) <(python -c "print(round("$nom"/"$denom" *100,2))") \x3b done > data.table2;38376601-33d2-4b48-b27c-8fdfc9c2b8f4]633;Ccapture1_b1	1108837	1084600	870072	6.34	816024	4.27
capture1_b2	1397668	1358807	1076317	7.13	995965	3.03
capture1_g1	1159325	1133525	840241	5.54	1050484	4.66
capture1_g7	1098372	1075808	781671	5.52	857016	2.39
capture1_k1	1385332	1341537	1203766	5.93	869985	3.4
capture1_k3	1521675	1489540	1145491	6.34	916160	1.92
capture1_m5	3350796	3140093	2425880	5.82	936815	1.54
capture1_m7	2771301	2730261	1615823	5.53	807473	1.91
capture1_n1	1619485	1598758	1389405	6.15	771203	3.0
capture1_n2	1108487	1095361	937438	5.43	936342	2.38
capture4_b1	1300163	1284460	954676	5.34	817147	2.98
capture4_b2	1142702	1128412	884460	5.35	996221	2.33
capture4_g1	1332272	1301223	936515	6.57	1050383	3.38
capture4_g7	1761502	1728968	1229817	5.86	858502	1.54
capture4_k1	1127659	1102983	1043386	5.91	870154	3.01
capture4_k3	1502559	1454047	1123155	5.65	916410	1.55
capture4_m5	2129293	2094054	1416928	6.17	936895	2.01
capture4_m7	1787551	1725894	1119662	5.55	806577	2.26
capture4_n1	1780675	1757087	1574043	6.78	770461	2.24
capture4_n2	1496495	1477176	1255122	6.2	936503	1.41
capture7_b1	1663005	1644437	1170589	6.0	816276	2.43
capture7_b2	1091560	1079514	834293	5.34	996104	1.6
capture7_g1	1160875	1149283	968886	5.3	1051305	1.89
capture7_g7	991620	980106	616703	5.96	857527	4.0
capture7_k1	929485	912871	865460	5.65	870126	2.14
capture7_k3	1121052	1097819	889818	6.07	917124	1.37
capture7_m5	992987	955798	857443	5.92	936436	2.44
capture7_m7	1455343	1432854	1205880	6.37	807007	1.85
capture7_n1	2092524	2060836	1705488	5.73	770440	1.0
capture7_n2	2408283	2374075	2044502	6.27	936590	0.64
capture10_b10	1401522	1384576	1063816	6.67	1342957	3.35
capture10_b1	811661	801943	683985	6.41	815952	4.35
capture10_b2	3853271	2543640	1819361	6.62	994143	1.12
capture10_b6	3963295	2594330	2061896	6.16	2094022	1.23
capture10_b7	1161436	1130277	992924	6.41	1100685	3.08
capture10_g1	1413975	1398479	1003071	6.18	1050175	3.21
capture10_g5	1338774	1323083	829260	7.35	1169907	2.67
capture10_g6	2297718	2271016	1612692	6.62	933695	3.99
capture10_g7	1017693	1006463	746662	6.03	856844	2.13
capture10_g8	1110616	1098688	517147	5.47	934303	3.07
capture10_k1	848563	837789	753992	6.0	870345	3.35
capture10_k2	1869330	1844740	1675136	6.52	1617774	1.61
capture10_k3	960968	950421	713602	6.31	916598	2.14
capture10_k5	1265628	1249187	1152142	6.83	1176602	2.11
capture10_k8	2665387	2586649	2080837	6.1	1969108	1.23
capture10_m1	885465	874661	782635	6.84	901509	2.67
capture10_m3	967076	955967	685695	7.08	898474	3.08
capture10_m5	1341396	1325426	1084382	6.49	935622	2.98
capture10_m7	899621	889857	527296	5.75	807618	3.84
capture10_m9	1048665	1037515	771652	6.06	1002752	2.63
capture10_n1	755911	746551	656115	6.22	771211	3.82
capture10_n2	952878	940588	796626	7.21	936426	2.13
capture10_n3	885783	875019	777790	7.06	894750	2.57
capture10_n4	1310300	1295537	1099782	5.83	1025203	2.24
capture10_n5	980436	968405	814722	6.1	981832	3.01
