Pool	Percent_in_Exons	Percent_Near_Exons	Percent_Off_Target_Exons	Percent_on_Target2X	PErcent_Near_Target2X	PercentOff_Target2X	Percent_on_Target7X	Percent_Near_Target7X	PercentOff_Target7X	Percent_on_Target12X	Percent_Near_Target12X	PercentOff_Target12X
capture1_b1	47.8%	9.9%	42.3%		46.5%	9.4%	44.1%		46.2%	9.2%	44.6%		45.6%	9.0%	45.4%	
capture1_b2	46.8%	10.0%	43.2%		45.9%	9.6%	44.5%		45.5%	9.4%	45.1%		44.9%	9.2%	45.9%	
capture1_g1	48.0%	9.9%	42.2%		46.6%	9.3%	44.2%		46.2%	9.1%	44.6%		45.7%	8.9%	45.4%	
capture1_g7	47.7%	9.8%	42.6%		46.9%	9.5%	43.6%		46.6%	9.3%	44.1%		46.0%	9.1%	44.9%	
capture1_k1	45.4%	10.3%	44.3%		44.3%	9.9%	45.8%		44.0%	9.7%	46.3%		43.3%	9.5%	47.2%	
capture1_k3	43.6%	10.4%	46.1%		43.0%	10.1%	46.9%		42.6%	10.0%	47.4%		42.0%	9.7%	48.3%	
capture1_m5	35.2%	10.9%	53.9%		34.7%	10.7%	54.6%		34.2%	10.5%	55.3%		33.4%	10.1%	56.4%	
capture1_m7	37.3%	10.6%	52.1%		36.7%	10.3%	52.9%		36.3%	10.1%	53.5%		35.5%	9.8%	54.7%	
capture1_n1	43.2%	10.5%	46.4%		42.2%	10.1%	47.7%		41.9%	9.9%	48.2%		41.2%	9.6%	49.2%	
capture1_n2	46.6%	10.1%	43.3%		45.9%	9.8%	44.3%		45.5%	9.7%	44.8%		44.9%	9.4%	45.6%	
capture4_b1	46.8%	9.7%	43.5%		46.0%	9.3%	44.7%		45.7%	9.1%	45.2%		45.0%	8.9%	46.1%	
capture4_b2	47.6%	9.7%	42.7%		46.9%	9.3%	43.7%		46.6%	9.2%	44.3%		45.9%	9.0%	45.1%	
capture4_g1	48.2%	9.6%	42.2%		47.2%	9.1%	43.7%		46.9%	9.0%	44.1%		46.3%	8.8%	44.9%	
capture4_g7	46.2%	9.7%	44.1%		45.7%	9.5%	44.8%		45.4%	9.3%	45.2%		44.8%	9.1%	46.1%	
capture4_k1	48.5%	10.0%	41.5%		47.6%	9.5%	42.8%		47.3%	9.4%	43.3%		46.7%	9.2%	44.1%	
capture4_k3	45.5%	10.0%	44.6%		45.0%	9.7%	45.2%		44.7%	9.6%	45.7%		44.1%	9.3%	46.5%	
capture4_m5	41.2%	10.2%	48.6%		40.6%	9.9%	49.5%		40.2%	9.8%	50.0%		39.5%	9.5%	51.0%	
