Sample,Percent_in_exons,Percent_near_exons,Percent_off_target_exons,Percent_on_target2X,Percent_near_target2X,Percent_off_target2X,Percent_on_target7X,Percent_near_target7X,Percent_off_target7X,Percent_on_target12X,Percent_near_target12X,Percent_off_target12X
capture1_b1,0.478,0.099,0.423,0.465,0.094,0.441,0.462,0.092,0.446,0.456,0.09,0.454
capture1_b2,0.468,0.1,0.432,0.459,0.096,0.445,0.455,0.094,0.451,0.449,0.092,0.459
capture1_g1,0.48,0.099,0.422,0.466,0.093,0.442,0.462,0.091,0.446,0.457,0.089,0.454
capture1_g7,0.477,0.098,0.426,0.469,0.095,0.436,0.466,0.093,0.441,0.46,0.091,0.449
capture1_k1,0.454,0.103,0.443,0.443,0.099,0.458,0.44,0.097,0.463,0.433,0.095,0.472
capture1_k3,0.436,0.104,0.461,0.43,0.101,0.469,0.426,0.1,0.474,0.42,0.097,0.483
capture1_m5,0.352,0.109,0.539,0.347,0.107,0.546,0.342,0.105,0.553,0.334,0.101,0.564
capture1_m7,0.373,0.106,0.521,0.367,0.103,0.529,0.363,0.101,0.535,0.355,0.098,0.547
capture1_n1,0.432,0.105,0.464,0.422,0.101,0.477,0.419,0.099,0.482,0.412,0.096,0.492
capture1_n2,0.466,0.101,0.433,0.459,0.098,0.443,0.455,0.097,0.448,0.449,0.094,0.456
capture4_b1,0.468,0.097,0.435,0.46,0.093,0.447,0.457,0.091,0.452,0.45,0.089,0.461
capture4_b2,0.476,0.097,0.427,0.469,0.093,0.437,0.466,0.092,0.443,0.459,0.09,0.451
capture4_g1,0.482,0.096,0.422,0.472,0.091,0.437,0.469,0.09,0.441,0.463,0.088,0.449
capture4_g7,0.462,0.097,0.441,0.457,0.095,0.448,0.454,0.093,0.452,0.448,0.091,0.461
capture4_k1,0.485,0.1,0.415,0.476,0.095,0.428,0.473,0.094,0.433,0.467,0.092,0.441
capture4_k3,0.455,0.1,0.446,0.45,0.097,0.452,0.447,0.096,0.457,0.441,0.093,0.465
capture4_m5,0.412,0.102,0.486,0.406,0.099,0.495,0.402,0.098,0.5,0.395,0.095,0.51
capture4_m7,0.4,0.103,0.497,0.394,0.1,0.506,0.39,0.098,0.512,0.382,0.095,0.523
capture4_n1,0.43,0.105,0.465,0.424,0.101,0.475,0.42,0.1,0.481,0.413,0.097,0.49
capture4_n2,0.432,0.102,0.466,0.428,0.1,0.472,0.425,0.098,0.477,0.418,0.096,0.486
capture7_b1,0.416,0.101,0.483,0.409,0.098,0.494,0.405,0.096,0.499,0.398,0.093,0.509
capture7_b2,0.457,0.098,0.445,0.452,0.096,0.453,0.448,0.094,0.458,0.442,0.092,0.467
capture7_g1,0.47,0.1,0.43,0.464,0.098,0.438,0.46,0.096,0.443,0.454,0.094,0.452
