Sample,Percent_in_exons,Percent_near_exons,Percent_off_target_exons,,,,,,,,,
capture1_b1,0.478,0.099,0.423,,,,,,,,,
capture1_b2,0.468,0.1,0.432,,,,,,,,,
capture1_g1,0.48,0.099,0.422,,,,,,,,,
capture1_g7,0.477,0.098,0.426,,,,,,,,,
capture1_k1,0.454,0.103,0.443,,,,,,,,,
capture1_k3,0.436,0.104,0.461,,,,,,,,,
capture1_m5,0.352,0.109,0.539,,,,,,,,,
capture1_m7,0.373,0.106,0.521,,,,,,,,,
capture1_n1,0.432,0.105,0.464,,,,,,,,,
capture1_n2,0.466,0.101,0.433,,,,,,,,,
capture4_b1,0.468,0.097,0.435,,,,,,,,,
capture4_b2,0.476,0.097,0.427,,,,,,,,,
capture4_g1,0.482,0.096,0.422,,,,,,,,,
capture4_g7,0.462,0.097,0.441,,,,,,,,,
capture4_k1,0.485,0.1,0.415,,,,,,,,,
capture4_k3,0.455,0.1,0.446,,,,,,,,,
capture4_m5,0.412,0.102,0.486,,,,,,,,,
capture4_m7,0.4,0.103,0.497,,,,,,,,,
capture4_n1,0.43,0.105,0.465,,,,,,,,,
capture4_n2,0.432,0.102,0.466,,,,,,,,,
capture7_b1,0.416,0.101,0.483,,,,,,,,,
capture7_b2,0.457,0.098,0.445,,,,,,,,,
capture7_g1,0.47,0.1,0.43,,,,,,,,,
capture7_g7,0.452,0.097,0.451,,,,,,,,,
capture7_k1,0.474,0.101,0.426,,,,,,,,,
capture7_k3,0.479,0.098,0.422,,,,,,,,,
capture7_m5,0.475,0.1,0.425,,,,,,,,,
capture7_m7,0.406,0.106,0.487,,,,,,,,,
capture7_n1,0.364,0.109,0.528,,,,,,,,,
capture7_n2,0.368,0.109,0.523,,,,,,,,,
capture10_b10,0.481,0.103,0.416,,,,,,,,,
capture10_b1,0.538,0.099,0.363,,,,,,,,,
capture10_b2,0.38,0.11,0.511,,,,,,,,,
capture10_b6,0.375,0.112,0.513,,,,,,,,,
capture10_b7,0.473,0.105,0.422,,,,,,,,,
capture10_g1,0.468,0.103,0.429,,,,,,,,,
capture10_g5,0.507,0.096,0.397,,,,,,,,,
capture10_g6,0.501,0.098,0.402,,,,,,,,,
capture10_g7,0.511,0.099,0.39,,,,,,,,,
capture10_g8,0.519,0.09,0.391,,,,,,,,,
capture10_k1,0.498,0.102,0.399,,,,,,,,,
capture10_k2,0.4,0.112,0.488,,,,,,,,,
capture10_k3,0.505,0.1,0.395,,,,,,,,,
capture10_k5,0.451,0.108,0.441,,,,,,,,,
capture10_k8,0.377,0.111,0.511,,,,,,,,,
capture10_m1,0.484,0.106,0.41,,,,,,,,,
capture10_m3,0.515,0.095,0.39,,,,,,,,,
capture10_m5,0.463,0.105,0.432,,,,,,,,,
capture10_m7,0.524,0.092,0.384,,,,,,,,,
capture10_m9,0.51,0.099,0.391,,,,,,,,,
capture10_n1,0.524,0.1,0.375,,,,,,,,,
capture10_n2,0.502,0.102,0.396,,,,,,,,,
capture10_n3,0.517,0.101,0.381,,,,,,,,,
capture10_n4,0.488,0.103,0.408,,,,,,,,,
capture10_n5,0.508,0.1,0.392,,,,,,,,,
capture13_b10,0.464,0.102,0.434,,,,,,,,,
capture13_b1,0.513,0.1,0.387,,,,,,,,,
capture13_b2,0.387,0.109,0.504,,,,,,,,,
capture13_b6,0.38,0.107,0.513,,,,,,,,,
capture13_b7,0.456,0.106,0.438,,,,,,,,,
capture13_g1,0.454,0.105,0.441,,,,,,,,,
capture13_g5,0.487,0.097,0.415,,,,,,,,,
capture13_g6,0.497,0.096,0.406,,,,,,,,,
capture13_g7,0.488,0.1,0.412,,,,,,,,,
capture13_g8,0.5,0.092,0.408,,,,,,,,,
capture13_k1,0.484,0.104,0.412,,,,,,,,,
capture13_k2,0.402,0.111,0.487,,,,,,,,,
capture13_k3,0.481,0.101,0.418,,,,,,,,,
capture13_k5,0.459,0.107,0.434,,,,,,,,,
capture13_k8,0.384,0.11,0.506,,,,,,,,,
capture13_m1,0.462,0.107,0.431,,,,,,,,,
capture13_m3,0.483,0.105,0.412,,,,,,,,,
capture13_m5,0.448,0.106,0.445,,,,,,,,,
capture13_m7,0.489,0.104,0.407,,,,,,,,,
capture13_m9,0.494,0.099,0.408,,,,,,,,,
capture13_n1,0.505,0.101,0.394,,,,,,,,,
capture13_n2,0.492,0.1,0.408,,,,,,,,,
capture13_n3,0.495,0.102,0.403,,,,,,,,,
capture13_n4,0.477,0.101,0.421,,,,,,,,,
capture13_n5,0.488,0.101,0.411,,,,,,,,,
capture16_b10,0.474,0.106,0.42,,,,,,,,,
capture16_b1,0.516,0.1,0.384,,,,,,,,,
capture16_b2,0.384,0.111,0.505,,,,,,,,,
capture16_b6,0.378,0.113,0.51,,,,,,,,,
capture16_b7,0.464,0.109,0.427,,,,,,,,,
capture16_g1,0.466,0.106,0.428,,,,,,,,,
capture16_g5,0.497,0.1,0.403,,,,,,,,,
capture16_g6,0.506,0.099,0.395,,,,,,,,,
capture16_g7,0.489,0.1,0.411,,,,,,,,,
capture16_g8,0.509,0.093,0.399,,,,,,,,,
capture16_k1,0.49,0.107,0.403,,,,,,,,,
capture16_k2,0.406,0.113,0.482,,,,,,,,,
capture16_k3,0.494,0.104,0.401,,,,,,,,,
capture16_k5,0.46,0.109,0.431,,,,,,,,,
capture16_k8,0.386,0.111,0.503,,,,,,,,,
capture16_m1,0.473,0.1,0.427,,,,,,,,,
capture16_m3,0.495,0.107,0.398,,,,,,,,,
capture16_m5,0.455,0.109,0.436,,,,,,,,,
capture16_m7,0.495,0.108,0.397,,,,,,,,,
capture16_m9,0.495,0.105,0.401,,,,,,,,,
capture16_n1,0.507,0.106,0.387,,,,,,,,,
capture16_n2,0.501,0.102,0.396,,,,,,,,,
capture16_n3,0.507,0.104,0.389,,,,,,,,,
capture16_n4,0.491,0.105,0.404,,,,,,,,,
capture16_n5,0.501,0.104,0.396,,,,,,,,,
capture1_b1,0.478,0.099,0.423,,,,,,,,,
capture1_b2,0.468,0.1,0.432,,,,,,,,,
